List No,Item No,UPC Code,Manufacturer No,Manufacturer,Category,Category Path 1,Category Path 2,Category Path 3,Product Name,Price(USD),Inventory,STOCK TYPE,Date,In Stock,weight(lb),SaleRate,SaleRateNew
2028,FAN-HELOR3,1.93E+11,HELOR 360,Cougar,Liquid Cooling,Component,Fan & Heatsink,Liquid Cooling,Cougar Helor 360 RGB CPU Aluminum Cooling Kit w/ 3 Fans 360mm ,153.24,3,Recurring,01 January 2019,L,3.53,0.887640449,0.2
1713,AS-MX259H,8.86E+11,MX259H,ASUS,"23""-30"" LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"Asus MX259H 25 inch Widescreen 80,000,000:1 5ms VGA/2HDMI LED LCD Monitor, w/ Speakers (Black & Silver)",,,,,,,0.887640449,0.2
3473,MB-X11SAM,6.72E+11,X11SAE-M-O,Supermicro,LGA 1151,Component,Motherboard,Server,Supermicro X11SAE-M-O LGA1151/ Intel C236/ DDR4/ SATA3&USB3.1/ A&2GbE/ MicroATX Motherboard,,,,,,,0.887640449,0.2
3381,MB-X370TAC,,X370 TAICHI,ASRock,Socket AM4,Component,Motherboard,Desktop,ASRock X370 TAICHI Socket AM4/ AMD X370/ DDR4/ Quad CrossFireX & Quad SLI/ SATA3&USB3.1/ M.2/ WiFi/ A&GbE/ ATX Motherboard,,,,,,,0.887640449,0.2
3462,MB-C7Z37I,6.72E+11,C7Z370-CG-IW-O,Supermicro,Socket 1151,Component,Motherboard,Desktop,Supermicro C7Z370-CG-IW-O LGA1151/ Intel Z270/ DDR4/ SATA3&USB3.1/ WiFi/ A&GbE/ Mini-ITX Motherboard,,,,,,,0.887640449,0.2
2028,FAN-HELOR3,1.93E+11,HELOR 360,Cougar,Liquid Cooling,Component,Fan & Heatsink,Liquid Cooling,Cougar Helor 360 RGB CPU Aluminum Cooling Kit w/ 3 Fans 360mm ,,,,,,,0.887640449,0.2
596,YD297XAWOF,7.30E+11,YD297XAZAFWOF,AMD,Ryzen,Component,CPU / Processor,Desktop CPU,"AMD Ryzen Threadripper 2970WX 24-Core 3GHz Socket sTR4, Retail",1228.98,4,Recurring,01 January 2019,Y,2.4,0.890449438,0.2
254,ST3200FM63,,ST3200FM0063,Seagate,SAS,Component,Solid State Drive,SAS,Seagate 1200.2 Series ST3200FM0063 3200GB 2.5 inch SAS 12.0GB/s Solid State Drive (eMLC),1235.13,4,Recurring,01 January 2019,Y,0.35,0.890449438,0.2
3246,AS-TUF7PB7,1.93E+11,TUF705DU-PB74,ASUS,Laptop & Notebook,PC & Laptop,Laptop/Notebook,,ASUS TUF Gaming TUF705DU-PB74 17.3 inch AMD Ryzen 7-3750H 2.3GHz/ 16GB DDR4/ 512GB SSD/ GTX 1660 Ti/ USB3.1/ Windows 10 Notebook (Gold Steel),1300.73,4,Recurring,01 January 2019,Y,9.8,0.890449438,0.2
3588,MSI-208TGN,8.24E+11,G208TGT,MSI,Nvidia,Component,Video Card,PCI Express Video Card,MSI NVIDIA GeForce RTX 2080 Ti GAMING TRIO 11GB GDDR6 HDMI/3DisplayPort/ USB Type-C PCI-Express Video Card,1373.5,4,Recurring,01 January 2019,Y,4,0.890449438,0.2
596,YD297XAWOF,7.30E+11,YD297XAZAFWOF,AMD,Ryzen,Component,CPU / Processor,Desktop CPU,"AMD Ryzen Threadripper 2970WX 24-Core 3GHz Socket sTR4, Retail",,,,,,,0.890449438,0.2
254,ST3200FM63,,ST3200FM0063,Seagate,SAS,Component,Solid State Drive,SAS,Seagate 1200.2 Series ST3200FM0063 3200GB 2.5 inch SAS 12.0GB/s Solid State Drive (eMLC),,,,,,,0.890449438,0.2
3246,AS-TUF7PB7,1.93E+11,TUF705DU-PB74,ASUS,Laptop & Notebook,PC & Laptop,Laptop/Notebook,,ASUS TUF Gaming TUF705DU-PB74 17.3 inch AMD Ryzen 7-3750H 2.3GHz/ 16GB DDR4/ 512GB SSD/ GTX 1660 Ti/ USB3.1/ Windows 10 Notebook (Gold Steel),,,,,,,0.890449438,0.2
3588,MSI-208TGN,8.24E+11,G208TGT,MSI,Nvidia,Component,Video Card,PCI Express Video Card,MSI NVIDIA GeForce RTX 2080 Ti GAMING TRIO 11GB GDDR6 HDMI/3DisplayPort/ USB Type-C PCI-Express Video Card,,,,,,,0.890449438,0.2
2073,FAN-BGG128,8.54E+11,FAN FILTER 120MM,Bgears,Case Fan Accessory,Component,Fan & Heatsink,Case Fan Accessory,Bgears BG01398 120mm Fan Filter - 2 Pack,4.1,3,Recurring,01 January 2019,L,0.1,0.898876404,0.2
2073,FAN-BGG128,8.54E+11,FAN FILTER 120MM,Bgears,Case Fan Accessory,Component,Fan & Heatsink,Case Fan Accessory,Bgears BG01398 120mm Fan Filter - 2 Pack,,,,,,,0.898876404,0.2
2501,CA-R6CWTTG,8.43E+11,FD-CA-DEF-R6C-WT-TGC,Fractal Design,ATX Mid Tower,Component,Case,Computer Case,Fractal Design Define R6 USB-C White TG No Power Supply ATX Mid Tower w/ Window (White),174.25,4,Recurring,01 January 2019,Y,31,0.924157303,0.2
3521,CA-RMC2A0C,8.37E+11,RMC-2A0-0-0-200-C,AIC,2U,Component,Server,Server Chassis,AIC RMC-2A0-0-0-200-C No Power Supply 2U Rackmount Server Chassis (Black),169.12,4,Recurring,01 January 2019,Y,28,0.924157303,0.2
3520,CA-RMC1EOE,8.37E+11,RMC-1E0-25E0-0-000-A,AIC,1U,Component,Server,Server Chassis,AIC RMC-1E0-25E0-0-000-A 250W 1U Rackmount Server Chassis (Black),152.73,4,Recurring,01 January 2019,Y,15.4,0.924157303,0.2
1654,PL-X2470MW,8.11E+11,997-7346-00,Planar,"23""-30"" LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"Planar PXL2470MW 24 inch Widescreen 1,000:1 14ms VGA/HDMI/DisplayPort LED LCD Monitor, w/ Speakers (Black)",162.98,4,Recurring,01 January 2019,Y,11.3,0.924157303,0.2
2389,CA-158PL12,8.41E+11,CL-W158-PL12SW-A,Thermaltake,Liquid Cooling,Component,Fan & Heatsink,Liquid Cooling,Thermaltake Floe Riing RGB 360 TT Premium Edition 3x 120mm CPU Liquid Cooler for Intel 2066/2011-v3/2011/1366/1156/1155/1151/1150 & AMD Socket AM4/FM2/FM1/AM3+/AM3/AM2+/AM2,194.24,4,Recurring,01 January 2019,Y,5,0.924157303,0.2
2384,CA-108PL12,8.41E+11,CL-W108-PL12SW-A,Thermaltake,Liquid Cooling,Component,Fan & Heatsink,Liquid Cooling,Thermaltake Water 3.0 Riing RGB 360 3x 120mm CPU Liquid Cooler for Intel LGA2011-v3/2011/1366/1156/1155/1151/1150 & AMD Socket FM2/FM1/AM3+/AM3/AM2+/AM2 ,164,4,Recurring,01 January 2019,Y,4.6,0.924157303,0.2
3682,AS-AC3200,8.86E+11,RT-AC3200,ASUS,Wireless Router,Component,Networking,Wireless Networking,Asus RT-AC3200 Tri-Band Wireless-AC3200 Gigabit Router,202.95,4,Recurring,01 January 2019,Y,4,0.924157303,0.2
2501,CA-R6CWTTG,8.43E+11,FD-CA-DEF-R6C-WT-TGC,Fractal Design,ATX Mid Tower,Component,Case,Computer Case,Fractal Design Define R6 USB-C White TG No Power Supply ATX Mid Tower w/ Window (White),,,,,,,0.924157303,0.2
3521,CA-RMC2A0C,8.37E+11,RMC-2A0-0-0-200-C,AIC,2U,Component,Server,Server Chassis,AIC RMC-2A0-0-0-200-C No Power Supply 2U Rackmount Server Chassis (Black),,,,,,,0.924157303,0.2
3520,CA-RMC1EOE,8.37E+11,RMC-1E0-25E0-0-000-A,AIC,1U,Component,Server,Server Chassis,AIC RMC-1E0-25E0-0-000-A 250W 1U Rackmount Server Chassis (Black),,,,,,,0.924157303,0.2
1654,PL-X2470MW,8.11E+11,997-7346-00,Planar,"23""-30"" LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"Planar PXL2470MW 24 inch Widescreen 1,000:1 14ms VGA/HDMI/DisplayPort LED LCD Monitor, w/ Speakers (Black)",,,,,,,0.924157303,0.2
2389,CA-158PL12,8.41E+11,CL-W158-PL12SW-A,Thermaltake,Liquid Cooling,Component,Fan & Heatsink,Liquid Cooling,Thermaltake Floe Riing RGB 360 TT Premium Edition 3x 120mm CPU Liquid Cooler for Intel 2066/2011-v3/2011/1366/1156/1155/1151/1150 & AMD Socket AM4/FM2/FM1/AM3+/AM3/AM2+/AM2,,,,,,,0.924157303,0.2
2384,CA-108PL12,8.41E+11,CL-W108-PL12SW-A,Thermaltake,Liquid Cooling,Component,Fan & Heatsink,Liquid Cooling,Thermaltake Water 3.0 Riing RGB 360 3x 120mm CPU Liquid Cooler for Intel LGA2011-v3/2011/1366/1156/1155/1151/1150 & AMD Socket FM2/FM1/AM3+/AM3/AM2+/AM2 ,,,,,,,0.924157303,0.2
3682,AS-AC3200,8.86E+11,RT-AC3200,ASUS,Wireless Router,Component,Networking,Wireless Networking,Asus RT-AC3200 Tri-Band Wireless-AC3200 Gigabit Router,,,,,,,0.924157303,0.2
2358,CA-FD9025,9.56E+11,FD09025B1M3/4,Masscool,90mm,Component,Fan & Heatsink,Case Fan,MassCool FD09025B1M3/4 90mm 3&4pin Ball Bearing Case Fan,3.59,3,Recurring,01 January 2019,L,0.35,0.93258427,0.2
111,T800UA12C5,8.78E+11,T800UA12C5(SZ),SUPER TALENT,DDR2 800,Component,DRAM Memory,Desktop DRAM,Super Talent DDR2-800 512MB/64x8 CL5 Memory,15.37,3,Recurring,01 January 2019,L,0.08,0.93258427,0.2
3726,CA-NBA200U,8.45E+11,NBA-200U,Vantec,Sound Card,Component,Multimedia,Sound Card,Vantec NBA-200U USB External 7.1 Channel Audio Adapter,25.62,3,Recurring,01 January 2019,L,0.8,0.93258427,0.2
2415,CA-SNKP068,6.72E+11,SNK-P0068PS,Supermicro,Server,Component,Fan & Heatsink,CPU Fan & Heatsink,Supermicro SNK-P0068PS 2U Passive CPU Heatsink for X11 Purley Platform,30.75,3,Recurring,01 January 2019,L,1,0.93258427,0.2
3833,CA-SNIP2-B,8.37E+11,X-SNIPER2-BL,Apevia,ATX Mid Tower,Component,Case,Computer Case,Apevia X-Sniper 2 No Power Supply ATX Mid Tower (Black/Blue),47.15,3,Recurring,01 January 2019,L,15,0.93258427,0.2
2358,CA-FD9025,9.56E+11,FD09025B1M3/4,Masscool,90mm,Component,Fan & Heatsink,Case Fan,MassCool FD09025B1M3/4 90mm 3&4pin Ball Bearing Case Fan,,,,,,,0.93258427,0.2
111,T800UA12C5,8.78E+11,T800UA12C5(SZ),SUPER TALENT,DDR2 800,Component,DRAM Memory,Desktop DRAM,Super Talent DDR2-800 512MB/64x8 CL5 Memory,,,,,,,0.93258427,0.2
3726,CA-NBA200U,8.45E+11,NBA-200U,Vantec,Sound Card,Component,Multimedia,Sound Card,Vantec NBA-200U USB External 7.1 Channel Audio Adapter,,,,,,,0.93258427,0.2
2415,CA-SNKP068,6.72E+11,SNK-P0068PS,Supermicro,Server,Component,Fan & Heatsink,CPU Fan & Heatsink,Supermicro SNK-P0068PS 2U Passive CPU Heatsink for X11 Purley Platform,,,,,,,0.93258427,0.2
3833,CA-SNIP2-B,8.37E+11,X-SNIPER2-BL,Apevia,ATX Mid Tower,Component,Case,Computer Case,Apevia X-Sniper 2 No Power Supply ATX Mid Tower (Black/Blue),,,,,,,0.93258427,0.2
3926,TL-P13406N,37332159151,P134-06N-VGA,Tripp Lite,VGA Cable,Component,Cable,VGA Cable,Tripp Lite P134-06N-VGA 6inch HD15 Female to Displayport Male Adapter (Black),21.78,10,Recurring,01 January 2019,Y,0.2,0.652808989,0.204081633
3926,TL-P13406N,37332159151,P134-06N-VGA,Tripp Lite,VGA Cable,Component,Cable,VGA Cable,Tripp Lite P134-06N-VGA 6inch HD15 Female to Displayport Male Adapter (Black),,,,,,,0.652808989,0.204081633
3373,MB-Q37MVPR,,Q370M VPRO,ASRock,Socket 1151,Component,Motherboard,Desktop,ASRock Q370M VPRO LGA1151/ Intel Q370/ DDR4/ Quad CrossFireX/ SATA3&USB3.1/ M.2/ A&GbE/ MicroATX Motherboard,138.38,9,Recurring,01 January 2019,Y,2.43,0.661672909,0.204545455
3373,MB-Q37MVPR,,Q370M VPRO,ASRock,Socket 1151,Component,Motherboard,Desktop,ASRock Q370M VPRO LGA1151/ Intel Q370/ DDR4/ Quad CrossFireX/ SATA3&USB3.1/ M.2/ A&GbE/ MicroATX Motherboard,,,,,,,0.661672909,0.204545455
2835,PS-GMM550W,8.48E+11,ASTRAPE M1-550W,GAMDIAS,Desktop,Component,Power Supply,Desktop,GAMDIAS ASTRAPE M1-550W 550W 80 PLUS Standard ATX12V v2.2 Power Supply w/ Active PFC,67.04,9,Recurring,01 January 2019,Y,6,0.664169788,0.204545455
2835,PS-GMM550W,8.48E+11,ASTRAPE M1-550W,GAMDIAS,Desktop,Component,Power Supply,Desktop,GAMDIAS ASTRAPE M1-550W 550W 80 PLUS Standard ATX12V v2.2 Power Supply w/ Active PFC,,,,,,,0.664169788,0.204545455
2727,FAN-K240,7.61E+11,K240,Antec,Liquid Cooling,Component,Fan & Heatsink,Liquid Cooling,Antec KUHLER H2O K Series K240 120mm CPU Liquid Cooling System,70.73,9,Recurring,01 January 2019,Y,4.2,0.667915106,0.204545455
2727,FAN-K240,7.61E+11,K240,Antec,Liquid Cooling,Component,Fan & Heatsink,Liquid Cooling,Antec KUHLER H2O K Series K240 120mm CPU Liquid Cooling System,,,,,,,0.667915106,0.204545455
2990,VC611-10WH,8.40E+11,NP611-10-WHITE,VCOM,Ethernet Cable,Component,Cable,Cat5 Cable,VCOM NP611-10-WHITE 10ft Cat6 UTP Molded Patch Cable (White),5.02,10,Recurring,01 January 2019,Y,0.24,0.716853933,0.204545455
2990,VC611-10WH,8.40E+11,NP611-10-WHITE,VCOM,Ethernet Cable,Component,Cable,Cat5 Cable,VCOM NP611-10-WHITE 10ft Cat6 UTP Molded Patch Cable (White),,,,,,,0.716853933,0.204545455
4181,CA-P9,7.61E+11,P9 WINDOW,Antec,ATX Mid Tower,Component,Case,Computer Case,Antec P9 WINDOW No Power Supply ATX Mid Tower Case (Black),75.85,9,Recurring,01 January 2019,Y,23.3,0.724094881,0.204545455
4181,CA-P9,7.61E+11,P9 WINDOW,Antec,ATX Mid Tower,Component,Case,Computer Case,Antec P9 WINDOW No Power Supply ATX Mid Tower Case (Black),,,,,,,0.724094881,0.204545455
4155,CA-631TB3F,8.28E+11,BL631.FH300TB3F,In Win,MicroATX Case,Component,Case,Computer Case,In-Win BL631.FH300TB3F 300W MicroATX Slim Case (Black),71.75,10,Recurring,01 January 2019,Y,14,0.682022472,0.208333333
4155,CA-631TB3F,8.28E+11,BL631.FH300TB3F,In Win,MicroATX Case,Component,Case,Computer Case,In-Win BL631.FH300TB3F 300W MicroATX Slim Case (Black),,,,,,,0.682022472,0.208333333
2158,PS-SG-550E,8.59E+11,SDGR-550E,Solid Gear,Desktop,Component,Power Supply,Desktop,Solid Gear SDGR-550E 550W PS2 ATX12V v2.3 & EPS12V v2.92 Power Supply (Black),32.8,10,Recurring,01 January 2019,Y,5,0.1,0.209302326
2158,PS-SG-550E,8.59E+11,SDGR-550E,Solid Gear,Desktop,Component,Power Supply,Desktop,Solid Gear SDGR-550E 550W PS2 ATX12V v2.3 & EPS12V v2.92 Power Supply (Black),,,,,,,0.1,0.209302326
2611,CA-CP11B30,8.45E+11,CP11B-300,SilverStone,Serial ATA Cable,Component,Cable,Serial ATA Cable,Silverstone CP11B-300 300mm SATA to SATA Cable (Black),12.3,10,Recurring,01 January 2019,Y,1,0.720224719,0.209302326
2611,CA-CP11B30,8.45E+11,CP11B-300,SilverStone,Serial ATA Cable,Component,Cable,Serial ATA Cable,Silverstone CP11B-300 300mm SATA to SATA Cable (Black),,,,,,,0.720224719,0.209302326
1734,AS-VP279QP,8.89E+11,VP279Q-P,ASUS,"23""-30"" LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"Asus VP279Q-P 27 inch Widescreen 5ms 80,000,000:1 VGA/HDMI/DisplayPort  LED LCD Monitor, w/ Speakers (Black)",217.3,10,Recurring,01 January 2019,Y,14.9,0.725842697,0.209302326
1734,AS-VP279QP,8.89E+11,VP279Q-P,ASUS,"23""-30"" LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"Asus VP279Q-P 27 inch Widescreen 5ms 80,000,000:1 VGA/HDMI/DisplayPort  LED LCD Monitor, w/ Speakers (Black)",,,,,,,0.725842697,0.209302326
1805,NEC-E241FH,8.06E+11,EA241F-H-BK,NEC Display Solutions,"23""-30"" LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"NEC MultiSync EA241F-H-BK 24 inch Widescreen 1,000:1 5ms VGA/DVI/HDMI/DisplayPort/USB LED LCD Monitor w/o Stand, w/ Speakers (Black) ",297.25,4,Recurring,01 January 2019,Y,13,0.834269663,0.210526316
1793,SAM-DM32E,8.06E+11,DM32E,Samsung,"32""/above LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"Samsung DM-E Series DM32E 32 inch 5000:1 8ms Composite/Component/VGA/DVI/HDMI/RJ45/USB LED LCD Monitor, w/ Built-in Wifi & TV Tuner & Speakers (Black)",593.47,4,Recurring,01 January 2019,Y,13,0.834269663,0.210526316
1805,NEC-E241FH,8.06E+11,EA241F-H-BK,NEC Display Solutions,"23""-30"" LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"NEC MultiSync EA241F-H-BK 24 inch Widescreen 1,000:1 5ms VGA/DVI/HDMI/DisplayPort/USB LED LCD Monitor w/o Stand, w/ Speakers (Black) ",,,,,,,0.834269663,0.210526316
1793,SAM-DM32E,8.06E+11,DM32E,Samsung,"32""/above LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"Samsung DM-E Series DM32E 32 inch 5000:1 8ms Composite/Component/VGA/DVI/HDMI/RJ45/USB LED LCD Monitor, w/ Built-in Wifi & TV Tuner & Speakers (Black)",,,,,,,0.834269663,0.210526316
50,F24UA8GM,,F24UA8GM,SUPER TALENT,DDR4 (288 Pin) ,Component,DRAM Memory,Desktop DRAM,Super Talent DDR4-2400 8GB/1Gx8 CL17 Micron Chip Memory,56.37,4,Recurring,01 January 2019,Y,0.1,0.851123596,0.210526316
1812,NEC-V404,8.06E+11,V404,NEC Display Solutions,"32""/above LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"NEC V404 40 inch Large Screen 4,000:1 DVI/HDMI/DisplayPort/ LED LCD Monitor, w/ Speakers",945.97,4,Recurring,01 January 2019,Y,40,0.851123596,0.210526316
50,F24UA8GM,,F24UA8GM,SUPER TALENT,DDR4 (288 Pin) ,Component,DRAM Memory,Desktop DRAM,Super Talent DDR4-2400 8GB/1Gx8 CL17 Micron Chip Memory,,,,,,,0.851123596,0.210526316
1812,NEC-V404,8.06E+11,V404,NEC Display Solutions,"32""/above LCD/LED Monitor",Component,Monitor & Display & TV,LCD/LED Monitor,"NEC V404 40 inch Large Screen 4,000:1 DVI/HDMI/DisplayPort/ LED LCD Monitor, w/ Speakers",,,,,,,0.851123596,0.210526316
4041,CA-743T5B,6.72E+11,CSE-743T-500B,Supermicro,4U,Component,Server,Server Chassis,Supermicro CSE-743T-500B 500W 4U Tower/Rackmount Server Chassis (Black),293.15,5,Recurring,01 January 2019,Y,57,0.860674157,0.210526316
3468,MB-X11SRA,,MBD-X11SRA-O,Supermicro,Others,Component,Motherboard,Server,Supermicro MBD-X11SRA-O LGA2066/ Intel C422/ DDR4/ SATA3&USB3.1/ A&2GbE/ ATX Server Motherboard,297.25,5,Recurring,01 January 2019,Y,5,0.860674157,0.210526316
3472,MB-X11SAT,6.72E+11,X11SAT-O,Supermicro,LGA 1151,Component,Motherboard,Server,Supermicro X11SAT-O LGA1151/ Intel C236/ DDR4/ SATA3&USB3.1/ M.2/ A&2GbE/ ATX Motherboard,301.35,5,Recurring,01 January 2019,Y,5,0.860674157,0.210526316
1124,MB-X10DALB,6.72E+11,X10DAL-I-B,Supermicro,LGA 2011,Component,Motherboard,Server,Supermicro X10DAL-I-B Dual LGA2011/ Intel C612/ DDR4/ SATA3&USB3.0/ A&2GbE/ ATX Server Motherboard,305.96,5,Recurring,01 January 2019,Y,5,0.860674157,0.210526316
4041,CA-743T5B,6.72E+11,CSE-743T-500B,Supermicro,4U,Component,Server,Server Chassis,Supermicro CSE-743T-500B 500W 4U Tower/Rackmount Server Chassis (Black),,,,,,,0.860674157,0.210526316
3468,MB-X11SRA,,MBD-X11SRA-O,Supermicro,Others,Component,Motherboard,Server,Supermicro MBD-X11SRA-O LGA2066/ Intel C422/ DDR4/ SATA3&USB3.1/ A&2GbE/ ATX Server Motherboard,,,,,,,0.860674157,0.210526316
3472,MB-X11SAT,6.72E+11,X11SAT-O,Supermicro,LGA 1151,Component,Motherboard,Server,Supermicro X11SAT-O LGA1151/ Intel C236/ DDR4/ SATA3&USB3.1/ M.2/ A&2GbE/ ATX Motherboard,,,,,,,0.860674157,0.210526316
1124,MB-X10DALB,6.72E+11,X10DAL-I-B,Supermicro,LGA 2011,Component,Motherboard,Server,Supermicro X10DAL-I-B Dual LGA2011/ Intel C612/ DDR4/ SATA3&USB3.0/ A&2GbE/ ATX Server Motherboard,,,,,,,0.860674157,0.210526316
1428,SYN-VR1218,8.47E+11,NVR1218,Synology,Surveillance,Component,NAS / DAS / SAN,NAS,Synology Network Video Recorder NVR1218 w/ 12-Channel IP Cameras Support,211.66,5,Recurring,01 January 2019,Y,4.41,0.869662921,0.210526316
1428,SYN-VR1218,8.47E+11,NVR1218,Synology,Surveillance,Component,NAS / DAS / SAN,NAS,Synology Network Video Recorder NVR1218 w/ 12-Channel IP Cameras Support,,,,,,,0.869662921,0.210526316
2593,PS-SFX450,8.45E+11,ST45SF,SilverStone,Desktop,Component,Power Supply,Desktop,SilverStone SFX Series ST45SF 450W 80 PLUS Bronze SFX Power Supply (Black),66.11,5,Recurring,01 January 2019,Y,4,0.880898876,0.210526316
2593,PS-SFX450,8.45E+11,ST45SF,SilverStone,Desktop,Component,Power Supply,Desktop,SilverStone SFX Series ST45SF 450W 80 PLUS Bronze SFX Power Supply (Black),,,,,,,0.880898876,0.210526316
2977,VC511100BL,8.40E+11,NP511-100-BLUE,VCOM,Ethernet Cable,Component,Cable,Cat5 Cable,VCOM NP511-100-BLUE 100ft Cat5e UTP Molded Patch Cable (Blue),25.11,8,Recurring,01 January 2019,Y,1.76,0.080425784,0.211111111
2977,VC511100BL,8.40E+11,NP511-100-BLUE,VCOM,Ethernet Cable,Component,Cable,Cat5 Cable,VCOM NP511-100-BLUE 100ft Cat5e UTP Molded Patch Cable (Blue),3.84,269,,,,,0.080425784,0.211111111
2189,FAN-SP120K,8.86E+11,BFF-SPRO-12025KK-RP,BitFenix,120mm,Component,Fan & Heatsink,Case Fan,BitFenix Spectre Pro 120mm Case Fan (Black),9.23,38,Recurring,01 January 2019,Y,0.42,0.117977528,0.211111111
2189,FAN-SP120K,8.86E+11,BFF-SPRO-12025KK-RP,BitFenix,120mm,Component,Fan & Heatsink,Case Fan,BitFenix Spectre Pro 120mm Case Fan (Black),47.66,102,,,,,0.117977528,0.211111111
3892,CA-H700BR3,8.16E+11,CA-H700B-BR,NZXT,ATX Mid Tower,Component,Case,Computer Case,NZXT H700 No Power Supply ATX Mid Tower (Matte Black/Red),142.48,1,Recurring,01 January 2019,L,33,0.126484751,0.211111111
3892,CA-H700BR3,8.16E+11,CA-H700B-BR,NZXT,ATX Mid Tower,Component,Case,Computer Case,NZXT H700 No Power Supply ATX Mid Tower (Matte Black/Red),5.13,532,,,,,0.126484751,0.211111111
3877,FAN-V12SP2,1.93E+11,CF-V12SPB-RGB,Cougar,120mm,Component,Fan & Heatsink,Case Fan,Cougar CF-V12SPB-RGB 120mm omnidirectional RGB fan,22.04,2,Recurring,01 January 2019,L,0.5,0.15024077,0.211111111
3877,FAN-V12SP2,1.93E+11,CF-V12SPB-RGB,Cougar,120mm,Component,Fan & Heatsink,Case Fan,Cougar CF-V12SPB-RGB 120mm omnidirectional RGB fan,55.35,110,,,,,0.15024077,0.211111111
2017,CA-PANZERS,8.72E+11,PANZER-S,Cougar,ATX Mid Tower,Component,Case,Computer Case,Cougar PANZER-S No Power Supply ATX Mid Tower,92.25,29,Recurring,01 January 2019,Y,25.75,0.172026346,0.211111111
2017,CA-PANZERS,8.72E+11,PANZER-S,Cougar,ATX Mid Tower,Component,Case,Computer Case,Cougar PANZER-S No Power Supply ATX Mid Tower,97.37,469,,,,,0.172026346,0.211111111
1550,EN-MB074SP,8.85E+11,MB074SP-B,Icy Dock,Accessory,Component,Hard Drive,Accessory,ICY DOCK Black Vortex MB074SP-B 4 Bay 3.5 inch Hard Drive Cooler Cage with 120mm Front LED Fan in 3x External 5.25 inch Bay (Black),44.96,6,Recurring,01 January 2019,Y,2.74,0.22659176,0.211111111
1550,EN-MB074SP,8.85E+11,MB074SP-B,Icy Dock,Accessory,Component,Hard Drive,Accessory,ICY DOCK Black Vortex MB074SP-B 4 Bay 3.5 inch Hard Drive Cooler Cage with 120mm Front LED Fan in 3x External 5.25 inch Bay (Black),84.56,268,,,,,0.22659176,0.211111111
2059,FAN-DS12R3,8.41E+11,DS 120MM RED,AeroCool,120mm,Component,Fan & Heatsink,Case Fan,AeroCool Dead Silence 120mm Red Case Fan ,13.33,1,Recurring,01 January 2019,L,0.5,0.244030899,0.211111111
2059,FAN-DS12R3,8.41E+11,DS 120MM RED,AeroCool,120mm,Component,Fan & Heatsink,Case Fan,AeroCool Dead Silence 120mm Red Case Fan ,29.21,110,,,,,0.244030899,0.211111111
2450,CA-FAN88L4,6.72E+11,FAN-0088L4,Supermicro,40mm,Component,Fan & Heatsink,Case Fan,Supermicro FAN-0088L4 40x40x56mm 4Pin PWM Fan for 1U SC513F/SC515/SC823M Chassis,25.62,24,Recurring,01 January 2019,Y,0.5,0.248595506,0.211111111
2450,CA-FAN88L4,6.72E+11,FAN-0088L4,Supermicro,40mm,Component,Fan & Heatsink,Case Fan,Supermicro FAN-0088L4 40x40x56mm 4Pin PWM Fan for 1U SC513F/SC515/SC823M Chassis,77.9,156,,,,,0.248595506,0.211111111
464,STU64GNSTW,8.41E+11,STU64GNSTW,SUPER TALENT,64GB,Component,USB Drive,2.0 USB Drive,Super Talent NST1 64GB USB 2.0 Flash Drive,10.25,10,Recurring,01 January 2019,Y,0.06,0.1,0.212765957
464,STU64GNSTW,8.41E+11,STU64GNSTW,SUPER TALENT,64GB,Component,USB Drive,2.0 USB Drive,Super Talent NST1 64GB USB 2.0 Flash Drive,,,,,,,0.1,0.212765957
2819,MO-DMTERE1,8.48E+11,GD-DEMETER E1,GAMDIAS,Mouse,Component,Input & Output Device,Mouse,Gamdias GD-DEMETER E1 Wired USB  Optical Gaming Mouse & NYX E1 Gaming Mouse Mat,20.49,10,Recurring,01 January 2019,Y,0.63,0.657303371,0.212765957
2819,MO-DMTERE1,8.48E+11,GD-DEMETER E1,GAMDIAS,Mouse,Component,Input & Output Device,Mouse,Gamdias GD-DEMETER E1 Wired USB  Optical Gaming Mouse & NYX E1 Gaming Mouse Mat,,,,,,,0.657303371,0.212765957
3416,MB-B360NWF,8.90E+11,B360N WIFI,GIGABYTE,Socket 1151,Component,Motherboard,Desktop,GIGABYTE B360N WIFI LGA1151/ Intel B360/ DDR4/ SATA3&USB3.1/ M.2/ WiFi/ A&2GbE/ Mini-ITX Motherboard,114.8,10,Recurring,01 January 2019,Y,2.05,0.671910112,0.212765957
